week_starting,room_type,booking_com,expedia,ibis_com,median_price
09/01/2024,Double,160.5,N/A,149.1,154.8
09/01/2024,Twin,160.5,N/A,149.1,154.8
09/01/2024,Accessible Double,165.5,N/A,153.6,159.55
09/08/2024,Double,172.3,172.3,155.04,172.3
09/08/2024,Twin,N/A,176.67,N/A,176.67
09/08/2024,Accessible Double,176.67,N/A,158.95,167.81
9/15/2024,Double,N/A,172.3,128.9,150.6
9/15/2024,Twin,208.7,176.67,N/A,192.69
9/15/2024,Accessible Double,213,N/A,N/A,213
9/22/2024,Double,158.3,193,142.3,158.3
9/22/2024,Twin,N/A,N/A,N/A,0
9/22/2024,Accessible Double,N/A,N/A,N/A,0
9/29/2024,Double,134,163,120.5,134
9/29/2024,Twin,134,134,120.5,134
9/29/2024,Accessible Double,138,138,124.23,138
10/06/2024,Double,134.67,164,121.16,134.67
10/06/2024,Twin,134.67,135,121.16,134.67
10/06/2024,Accessible Double,138.67,139,124.85,138.67
10/13/2024,Double,131.5,131,121.2,131
10/13/2024,Twin,131.5,131,121.2,131
10/13/2024,Accessible Double,135.5,136,124.85,135.5
10/20/2024,Double,127.5,128,118.33,127.5
10/20/2024,Twin,127.5,128,118.33,127.5
10/20/2024,Accessible Double,131.67,132,122.02,131.67
10/27/2024,Double,112,112,114.76,112
10/27/2024,Twin,112,112,114.76,112
10/27/2024,Accessible Double,116.17,116,118.45,116.17
11/03/2024,Double,113.83,114,102.46,113.83
11/03/2024,Twin,113.83,114,102.46,113.83
11/03/2024,Accessible Double,118,118,106.15,118
11/10/2024,Double,117.83,118,106.03,117.83
11/10/2024,Twin,117.83,118,106.03,117.83
11/10/2024,Accessible Double,121.83,122,109.72,121.83
11/17/2024,Double,119,114,102.21,114
11/17/2024,Twin,119,114,102.21,114
11/17/2024,Accessible Double,123.17,118,105.9,118
11/24/2024,Double,131.67,119,107.13,107.13
11/24/2024,Twin,131.67,119,107.13,107.13
11/24/2024,Accessible Double,136.33,123,110.82,123
12/01/2024,Double,121.3,121,109.2,121
12/01/2024,Twin,121.3,121,109.2,121
12/01/2024,Accessible Double,125.5,125,112.9,125
12/08/2024,Double,120.67,121,108.6,120.67
12/08/2024,Twin,120.67,121,108.6,120.67
12/08/2024,Accessible Double,124.83,125,112.3,124.83
12/15/2024,Double,116.67,117,105.04,116.67
12/15/2024,Twin,116.67,117,105.04,116.67
12/15/2024,Accessible Double,120.83,121,108.73,120.83
12/22/2024,Double,100.67,101,100.72,100.72
12/22/2024,Twin,100.67,101,100.72,100.72
12/22/2024,Accessible Double,104.83,105,104.82,104.83
12/29/2024,Double,104,105,104.69,104.69
12/29/2024,Twin,104,105,104.69,104.69
12/29/2024,Accessible Double,108.83,109,108.79,108.83
01/05/2025,Double,127.68,105,105.37,105.37
01/05/2025,Twin,118.17,105,105.37,105.37
01/05/2025,Accessible Double,122.3,109,109.47,109.47
01/12/2025,Double,103.5,121,103.46,103.5
01/12/2025,Twin,N/A,121,N/A,121
01/12/2025,Accessible Double,,125,N/A,125
1/19/2025,Double,105.33,105,105.37,105.33
1/19/2025,Twin,105.33,105,105.37,105.33
1/19/2025,Accessible Double,109.5,109,109.47,109.47
1/26/2025,Double,91.83,105,105.37,105
1/26/2025,Twin,91.83,105,105.37,105
1/26/2025,Accessible Double,95.33,109,109.47,109
02/02/2025,Double,123.67,124,123.68,123.68
02/02/2025,Twin,123.67,124,123.68,123.68
02/02/2025,Accessible Double,127.83,128,127.78,127.83
02/09/2025,Double,125.33,125,125.32,125.32
02/09/2025,Twin,125.33,125,125.32,125.32
02/09/2025,Accessible Double,129.5,129,129.42,129.42
2/16/2025,Double,121.5,121,121.5,121.5
2/16/2025,Twin,121.5,121,121.5,121.5
2/16/2025,Accessible Double,125.67,126,125.6,125.67
2/23/2025,Double,123.16,123,123.14,123.14
2/23/2025,Twin,123.16,123,123.14,123.14
2/23/2025,Accessible Double,127.17,127,127.24,127.17
